id,entity,name_myv,name_mdf,name_deu,district_deu,region_deu,dialect,name_rus,district_rus,region_rus,coordinate
Mdf:Jurtk,село,x,x,Mordowskije Jurtkuli,Spassk,Kasan,mdf:Mixed,Базарно-Мордовксий Юрткуль,x,x,"54.779546, 49.442626"
Myv:Kad,район,x,x,Kadom,?,?,myv:Mixed,Кадом,Теньгушевский район,x,"54.566667, 42.466667"
Mdf:Kalinovka,село,x,x,x,x,x,mdf:X,Калиновка,Сорокинский район,Тюменсая область,"56.841000, 69.420833"
Myv:Kal,деревня,koĺaj-v́eĺe,x,Kaljajewo,Temnikow,Tambow,myv:Mixed,Коляево,x,x,"54.610094, 42.636631"
Mdf:Kanguž,село,x,kańf-ḱužə,Kangush,Krasnoslobodsk,Pensa,mdf:C,Каньгуши,x,x,"54.533728, 43.792825"
Myv:Karaguž,?село,x,x,Karagush,Chwalynsk,x,myv:X,Мордовская Карагужа,x,x,"52.826695, 48.172121"
Mdf:Kard,село,x,Кардаф ляй,Kardaflej,Gorodischtsche,Pensa,mdf:Mixed,Кардафлей,x,x,"53.331139, 46.021087"
Myv:Kard,село,x,x,Kardaflej,Gorodischtsche,Pensa,myv:Mixed,Кардафлей,x,x,"53.331139, 46.021087"
Mdf:Kars,село,x,kaʀca·jka,Karsajewka,Tschembar,Pensa,mdf:Trans,Корсаевка,x,x,"52.990231, 43.220338"
Myv:Kas,губерня,x,x,x,x,Kasan,myv:X,x,x,x,"55.790833, 49.114444"
Mdf:Katm,село,x,kat́ḿi·s,Katmis,Gorodischtsche,Pensa,mdf:Mixed,Нижний Катмис,x,x,"53.251493, 46.007568"
Myv:Kažl,село,kažli͔tka,x,Kashlodka,Spassk,Tambow,myv:Mixed,Кажлодка,Торбеевский район,Мордовская АССР,"54.007194, 43.168146"
Mdf:Kašt,село,x,śiŕə kašta·ŋka,Kaschtanowka,Tschembar,Pensa,mdf:Trans,Старая Каштановка,x,x,"52.994719, 43.267679"
Mdf:Ker,деревня,x,ḱerata,Kerata,Krasnoslobodsk,Pensa,mdf:C,Керетино,x,x,"54.179856, 43.748996"
Myv:Kirdž,село,Верьгизума,x,Kirdshamany,Petrowsk,Saratow,myv:Mixed,Каржимант,x,x,"52.780229, 45.532341"
Mdf:Kiš,?село,x,x,Kischaly,Temnikow,Tambow,mdf:C,Кишалы,x,x,"54.375135, 43.200782"
Myv:Kl,село,x,x,Kljawlina,Bugulma,Samara,myv:X,Клявлино,Шенталинский район,Куйбышевский область,"54.298232, 52.006167"
Mdf:Klopinka,деревня,x,x,x,x,Pensa,mdf:C,Клопинка,Атюрьевский район,x,"54.436333, 43.276677"
Myv:Kob,село,Кобале,x,Kobajewo,x,x,myv:SE,Кабаево,Дубёнский,Мордовия,"54.525698, 46.474162"
Mdf:Korino,село,x,Мокшень Кара веле,Korino,Krasnoslobodsk,Pensa,mdf:C,Мордовское Корино,x,x,"54.682414, 43.649894"
Myv:Korino,село,koŕina,x,Korino,x,x,myv:NW,Корино,x,x,"55.148879, 44.056220"
Myv:Korov,село,x,x,Korowino,Buguruslan,Samara,myv:X,Коровино,Бугурусланский район,Оренбургский область,"53.826386, 53.048464"
Myv:Kos,село,gosagᴉ͐r,x,Kossogory,x,x,myv:SE,Косогоры,x,x,"54.212040, 45.779665"
Myv:Kozl,село,x,x,Koslowka,Bugulma,Samara,myv:X,Козловка,Шенталинский район,Куйбышевский область,"53.742016, 51.350989"
Myv:Kočk,село,kočkur-v́eĺe,x,Kotschkurowo,Saransk,Pensa,myv:W,Кочкурово,x,x,"54.037297, 45.433868"
Mdf:Kr,район,x,x,x,Krasnoslobodsk,x,mdf:X,x,x,x,"54.433333, 43.783333"
Mdf:Kuld,село,x,kuldi͔·m,Kuldym,Insar,Pensa,mdf:C,Кулдым,x,x,"54.418217, 44.601920"
Myv:Kulik,?село,x,x,Kulikowka,Samara,x,myv:X,Куликовка,x,x,"54.199722, 52.5525"
